time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.304400468383272e-05,1.8950333037434903e-05,10.003104081651239,0.005314355393212011,0.006419019187688058,0.0,-0.0013990015414660501,0.0011518417129904516,0.10346270131295533,0.024081681212431028,0.026579899626016715,0.0,436.8972861698589,439.1073500520087,436.991084932631,438.99346063996995
0.12000000000000001,-0.00023202910752152366,0.00019305216169691032,10.01027119476349,0.006967906067361973,0.00803960314473251,0.0,-0.005715285822812854,0.004809382865914567,0.13543551829748193,0.017735899197520024,0.0275093529963512,0.0,414.6771042036622,414.75894987923556,415.12126700923886,414.56421045165956
0.18,-0.0007502181933117792,0.0006261492150140201,10.0206244049567,0.008455640225327521,0.011936888865545114,0.0,-0.011957664392864453,0.00978143280165261,0.20965522362904096,0.009306085526150705,0.00984576119858731,0.0,428.82507849324753,427.32232188505213,429.65423430055057,428.93898313596435
0.23999999999999996,-0.0017547090039919696,0.0014097182965512258,10.037964176671228,0.010355237796313865,0.0169584900351607,0.0,-0.0220565845976606,0.016534617157157826,0.3682896380938865,0.02084921928546356,0.03173559869823015,0.0,454.81556652463837,456.5650388485161,454.28521697658147,455.2095906619955
0.3,-0.0035071228332637107,0.002659077873371017,10.066415387128346,0.01214730000874642,0.021539393166171372,0.0,-0.036921628640221645,0.025333188503432344,0.5799869489707776,0.011502194669617645,0.012572969674010495,0.0,471.575994098141,470.0937915351589,472.00122775639517,471.2793513777848
0.36000000000000004,-0.006215251391793708,0.004442315206389527,10.104924384016115,0.01316184060345904,0.029254924736224375,0.0,-0.05419359245240593,0.03420848997712527,0.7035555816523617,0.016655843788437222,-0.01755411520981495,0.0,447.0710034458303,444.6098552591007,443.4790505515391,443.90198568856437
0.4200000000000001,-0.010270780471654922,0.006849683247233934,10.156064551090738,0.014182825028482782,0.034935502941439545,0.0,-0.08169410483021364,0.04616679636108074,1.000879488833993,0.017464821233744748,0.00969759979750007,0.0,495.924125509851,497.92159587993353,495.5642763709932,495.62361532519895
0.48000000000000015,-0.015893107534473594,0.009940888053728952,10.218662308797734,0.02294730016034041,0.038459838694708814,0.0,-0.10608588544732896,0.05777760127697963,1.0856048588578828,-0.014188899655285877,-0.010331521681378611,0.0,434.02452120574355,432.34041424318343,434.6068369038163,431.94590067287464
0.5400000000000001,-0.023123258014353644,0.013930370102296674,10.288594036938054,0.024470014637459236,0.03875095002501272,0.0,-0.13493544959133996,0.07539004113819522,1.245285024201475,-0.03231013808844768,-0.0010072278964552263,0.0,456.3508630834667,457.0945600288425,457.73680991442984,456.29261690035474
0.6000000000000002,-0.03214352737743214,0.019025969920758185,10.369384052252567,0.022530568249691463,0.039701171524721524,0.0,-0.16583154811684056,0.09423005532103451,1.4474805845852385,-0.032352796223780775,0.008870668891163593,0.0,469.4906585275623,470.25631629366643,470.1070629023388,470.1034300527056
0.6600000000000003,-0.04284266507056314,0.025095521147343196,10.457331287620933,0.02058520925276408,0.040584400114110686,0.0,-0.1908944890958015,0.10790678899040683,1.4840455515256459,-0.03258474277472636,0.0010708047263366578,0.0,418.8163321874165,418.1373474232356,418.8187156288096,418.7980775651274
0.7200000000000003,-0.055089397966994344,0.03195812457785684,10.54788573640806,0.018752156694212374,0.044107902352433115,0.0,-0.21768210095753607,0.12067593440635749,1.5343556587744889,-0.037795434328106677,-0.02053873476795256,0.0,424.13146590887294,422.27165782481495,423.6307520053766,423.18194428537856
0.7800000000000004,-0.06888192647317694,0.03953455159937498,10.638909323762869,0.026141228168436115,0.04318951756089451,0.0,-0.24199296307990162,0.13250840491963184,1.4997976900089058,-0.07305825449577144,-0.01548477251566204,0.0,393.9061337372313,394.37318973086286,396.6850737873953,393.43188949433306
0.8400000000000004,-0.08427045045863685,0.048011047795101076,10.731237900907143,0.02746987292614822,0.04377269096901859,0.0,-0.27102712474736934,0.1501447270771719,1.5777077843413414,-0.04804991151845793,-0.030209317646641108,0.0,432.447857636858,431.2058618866358,431.89497042000266,433.9956692274877
0.9000000000000005,-0.10145415766181844,0.0575931210696715,10.829279812789768,0.02663395742047303,0.043608130067746664,0.0,-0.3017276967682483,0.1691506751230014,1.6901968997175905,-0.03353104751233503,-0.017295604078788218,0.0,442.80725309880086,443.86807469824294,443.31033579995193,444.5005968750496
0.9600000000000005,-0.1204549553853377,0.06828277647208338,10.933617450535786,0.02470351055669262,0.04261441877019134,0.0,-0.33153113731308775,0.18697483151559435,1.7875832020980391,-0.0380794090145615,-0.021088563902345984,0.0,439.6998567476554,439.38559161775356,439.0542641870597,438.6762213792388
1.0200000000000005,-0.14131071329896758,0.08004698037867714,11.0456167233649,0.023161356595617022,0.04368423597508908,0.0,-0.3637902911669518,0.20497810596943764,1.9454641802106039,-0.02976361497388256,-0.03907129148474798,0.0,459.1457653750207,457.71679275143094,457.82429155816646,458.4849080978914
1.0800000000000005,-0.16433430692536977,0.09296039385189232,11.171650579480943,0.02141093252215054,0.04607912418535509,0.0,-0.40399231088280446,0.22522023849062325,2.2550880019118966,-0.028578906547969983,-0.06414916289949403,0.0,503.23219086163806,501.4126310916394,503.3012978622998,503.3868800921277
1.1400000000000006,-0.18963406341136246,0.1069656908777183,11.312549730598652,0.02021200589899852,0.042426298376605054,0.0,-0.43889652012906755,0.24148718711216402,2.4411901264611933,-0.037737527750346805,-0.060351958575901046,0.0,468.38175479572567,468.67432146664333,468.8889648652158,468.1766372117946
